video_id,question_type,question,a0,a1,a2,a3,a4,correct_idx,predicted_idx,is_correct,confidence,prob_a0,prob_a1,prob_a2,prob_a3,prob_a4,correct_answer,predicted_answer
ywm4es1p-R8_000007_000017,predictive,What will [person_1] and [person_2] do after finishing running?,[person_1] and [person_2] will continue performing.,[person_1] will land on the water.,[person_1] will continue to ride.,[person_1] and [person_2] will chat.,[person_1] leads the soldiers to war to historically reenact soldiers marching into battle.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] and [person_2] will chat.,[person_1] and [person_2] will chat.
ywm4es1p-R8_000007_000017,counterfactual,What will happen if [person_1] and [person_2] have run for a long time?,[person_1] may get sick and cough.,[person_1] will lose weight successfully.,The baseball may fly over [person_1]'s head.,[person_1] will stop playing flute.,[person_1] and [person_2] will chat.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] and [person_2] will chat.,[person_1] and [person_2] will chat.
DoRGCq2jU4k_000054_000064,explanatory,Why is [person_1] wearing glasses?,[person_1] is roller skating slowly in the room.,[person_1] is sitting on the chair.,[person_1] is playing bagpipe very enthusiastically.,"Because [person_1] is old , [person_1] can have some eye problems.",Maybe [person_1] is in the wedding.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,"Because [person_1] is old , [person_1] can have some eye problems.","Because [person_1] is old , [person_1] can have some eye problems."
DoRGCq2jU4k_000054_000064,predictive_reason,Why?,[person_1] is playing music enthusiastically while his friends is watching him.,[person_1] is going to have a break.,[person_1] is smiling.,[person_1] is exercising.,[person_1] is trying to make it more beautiful.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] is playing music enthusiastically while his friends is watching him.,[person_1] is playing music enthusiastically while his friends is watching him.
4f-tfHlYJME_000043_000053,descriptive,Where is [tv_1] in the room?,The short [person_1] wearing is blue.,The shirt [person_1] is wearing is white.,[tv_1] is on the right hand of [person_1].,The hat which [tv_1] is wearing is black.,It is black.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[tv_1] is on the right hand of [person_1].,[tv_1] is on the right hand of [person_1].
4f-tfHlYJME_000043_000053,explanatory,Why is [tv_1] operating?,[person_1] likes that.,Because he has to move the slide to look at microbes in different directions.,It's shinny outside.,It's spring.,Because there is anyone or [person_1] turning [tv_1] on.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,Because there is anyone or [person_1] turning [tv_1] on.,Because there is anyone or [person_1] turning [tv_1] on.
4f-tfHlYJME_000043_000053,predictive_reason,Why?,"When playing the accordion , [person_1] smiles and will stop after that.",People are interested in the story behind [person_1].,[person_1] has finished the body color.,[person_1] just started.,[person_1] is standing on [person_1].,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,"When playing the accordion , [person_1] smiles and will stop after that.","When playing the accordion , [person_1] smiles and will stop after that."
4f-tfHlYJME_000043_000053,counterfactual,What will happen if [person_1] holds the guitar?,[person_1] may have a toothache.,[person_1] will not be playing the accordion.,[person_1] may take another candy on the plate to eat.,[person_1] will be playing the accordion.,It is possible that [person_1] will have to remove the picture.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] will not be playing the accordion.,[person_1] will not be playing the accordion.
4f-tfHlYJME_000043_000053,counterfactual_reason,Why?,[person_1] will be able to play the guitar or just carry the guitar.,To see whether the phone breaks or not.,[person_1] will not be able to play the guitar or just carry the guitar.,Because [person_1] is holding a wheel and she seems to like cycling very much.,[person_1] will be able to play the guitar or just break the guitar.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] will not be able to play the guitar or just carry the guitar.,[person_1] will not be able to play the guitar or just carry the guitar.
jgaqZR6gUWc_000012_000022,predictive,What is [person_2] going to do?,[person_2] is holding his forehead with his hand.,[person_2] may making cookies by herself.,[person_2] is going to eat the donut hanging on the rope.,[person_2] is going to stretch [person_2]'s hand.,[person_2] may stand up and clap his hand.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_2] is going to stretch [person_2]'s hand.,[person_2] is going to stretch [person_2]'s hand.
jgaqZR6gUWc_000012_000022,counterfactual,What if the painting on the wall fell down?,[person_1] would drink.,[person_1] will then stand up.,[person_1] would be happy.,Maybe [person_1] would win something for herself.,The [person_1] would get hurt.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] will then stand up.,[person_1] will then stand up.
v2JuVkdUtYI_000036_000046,descriptive,What is on the sand?,[bottle_1] is on the floor.,The bicycle machine is on the floor.,[bottle_1] is on the sand.,[bottle_1] is on the floor.,The [bottle_1] is on the desk.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[bottle_1] is on the sand.,[bottle_1] is on the sand.
acTTzAoU_Gs_000006_000016,predictive,Who is [person_1]?,Perhaps [person_1] is in a room.,Perhaps [person_1] is in a dining room.,[person_1] might be a tai chi performer who is performing some tai chi moves.,[person_1] will talk while folding the paper.,[person_1] will cover the pot.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] might be a tai chi performer who is performing some tai chi moves.,[person_1] might be a tai chi performer who is performing some tai chi moves.
acTTzAoU_Gs_000006_000016,predictive_reason,Why?,Because the bottom doesn't show.,[person_1] looks really professional and the other people are imitating him.,There are a lot of dining tables.,There are so many people sitting around the tai chi court and watching [person_1] do tai chi.,This will make the color more even.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,There are so many people sitting around the tai chi court and watching [person_1] do tai chi.,There are so many people sitting around the tai chi court and watching [person_1] do tai chi.
hExuwdLbrP0_000232_000242,descriptive,Is television big?,[person_1] is kicking a ball.,[person_1] is on the street.,"No , it isn't.",It is on the wall.,[person_1] is sitting close to the camera.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,"No , it isn't.","No , it isn't."
hExuwdLbrP0_000232_000242,explanatory,Why is [person_1] sitting in front of the television?,[person_1] is playing the keyboard.,[person_1] is playing guitar.,[person_1] is doing exercises.,[person_1] is playing basketball.,[person_1] is playing cymbals.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] is playing the keyboard.,[person_1] is playing the keyboard.
hExuwdLbrP0_000232_000242,counterfactual,What will happen if the key is broken?,Keyboard will not make sound.,The room will be still bright.,[person_1] maybe stop stomping.,[person_1] may go to bed to relax.,[person_1] will have to stop filming.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,Keyboard will not make sound.,Keyboard will not make sound.
78bArSXMvFc_000115_000125,counterfactual,What will occur in case somebody wanna join with [person_1] and [person_2]?,[person_1] and [person_2] need to change spots to play instruments.,[person_1] might fail.,The would be failed in the competition.,Maybe [person_1] will charge it till full of power.,[person_1] will have a big bonus.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] and [person_2] need to change spots to play instruments.,[person_1] and [person_2] need to change spots to play instruments.
78bArSXMvFc_000115_000125,counterfactual_reason,Why?,Because the water will be full of detergent.,Because this room is too small.,The chair is on their right.,[person_1] can't wrap presents herself.,the mirror will reflect everything in front of it.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,Because this room is too small.,Because this room is too small.
YhagOC6Awbo_000077_000087,explanatory,Why is [person_1] playing lute?,Because [person_1] checks to see if any team cheats.,Because [person_1] and [person_1] want to build a snowman.,Because [person_1] is nearsighted or farsighted.,[person_1] is bored.,Maybe [person_1] is   practicing the lute - playing skills.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,Maybe [person_1] is   practicing the lute - playing skills.,Maybe [person_1] is   practicing the lute - playing skills.
zEU44NbzTmg_000000_000010,descriptive,What is it that [person_1] standing in front of?,[person_1] is holding it.,"Yes , the [person_1] is wearing an orange T - shirt.",[person_1] is standing in front of [car_1].,[person_1] is on the table.,It is brown.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] is standing in front of [car_1].,[person_1] is standing in front of [car_1].
aLqJ7QY4K_w_000037_000047,explanatory,Why are looms made of wood?,Because [person_1] is outside and the weather is sunny.,[person_1] feels that sitting is easier to play and it's more comfortable.,[person_1] and [person_1] express feelings after [person_1] threw the ball into a cup of the opposing team.,To increase the difficulty of the exercise.,Maybe the wooden material will make the weaves tighter than other materials.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,Maybe the wooden material will make the weaves tighter than other materials.,Maybe the wooden material will make the weaves tighter than other materials.
aLqJ7QY4K_w_000037_000047,counterfactual_reason,Why?,Maybe [person_1] will have to re - weave another sheet.,Falling too hard will hurt the boy in black.,[person_1] tossed the cake too high so a piece of the cake fell on the ground.,The [person_1] throws shot put by himself.,[person_1] is enjoying playing with the ball.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] tossed the cake too high so a piece of the cake fell on the ground.,[person_1] tossed the cake too high so a piece of the cake fell on the ground.
teme2f3I_Ic_000107_000117,explanatory,Why is [person_2] in the sports hall?,Because that is his present is given on birthday.,Because that's how [person_2] exercises.,[person_2] is participating in a wheelchair basketball competition.,[person_2] is showing excitation on the maraca.,Because [person_2] is wearing makeup.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_2] is participating in a wheelchair basketball competition.,[person_2] is participating in a wheelchair basketball competition.
4TQM0hh_-0k_000040_000050,predictive_reason,Why?,Maybe [person_1] will clap his hands.,[person_1] is resting.,[person_1] is doing lunges.,"When [person_1] swings the cup , he splits the dices into two lines and prepares to make two different dice stacks.",[person_1] is holding the bottle.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,"When [person_1] swings the cup , he splits the dices into two lines and prepares to make two different dice stacks.","When [person_1] swings the cup , he splits the dices into two lines and prepares to make two different dice stacks."
Ou2kXfsnbqw_000000_000010,descriptive,What is it in [person_2]'s hands?,The [person_2] is on the armchair.,[person_2] has [person_2],A watch.,It is a towel.,A small shovel.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_2] has [person_2],[person_2] has [person_2]
Ou2kXfsnbqw_000000_000010,counterfactual,What if [person_2] slips down on the snow?,[person_2] will go to find some clean water.,[person_2] won't do Zumba on the stage.,[person_2] may get sick and cough.,Maybe a mom of [person_2] runs to [person_2] to coax.,[person_2] will then lie on the snow.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_2] will then lie on the snow.,[person_2] will then lie on the snow.
AbYJMFEH3P0_000020_000030,predictive,What will [person_1] do if the power goes out?,[person_1] will show the snake to other people.,[person_1] will stop running.,Maybe he will put on a cabinet door.,[person_1] will pass the ball to the short boy.,[person_1] will wash his hands.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] will stop running.,[person_1] will stop running.
AbYJMFEH3P0_000020_000030,predictive_reason,Why?,[person_1] has a headache.,The treadmill doesn't work.,Because [person_1] cannot handle the snake all by himself.,[person_1] is walking to [person_1].,Because [person_1] cannot handle the snake all by himself but gets help from another person.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,The treadmill doesn't work.,The treadmill doesn't work.
AbYJMFEH3P0_000020_000030,counterfactual_reason,Why?,He need not to go to see a doctor.,Due to not enough light to practice.,He need to go to see a teacher.,[person_1] and [person_1] have a keen interest in the box.,He need to go to see a doctor.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,He need to go to see a doctor.,He need to go to see a doctor.
wUd00HlWM7k_000012_000022,descriptive,What shirt color is [person_1] wearing?,[person_1] is wearing a white stripes shirt.,[person_1] is standing behind [person_1].,Two.,[person_1] is wearing a black T - shirt.,[person_1] is in a sitting position.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] is wearing a black T - shirt.,[person_1] is wearing a black T - shirt.
wUd00HlWM7k_000012_000022,counterfactual,What would happen if [person_1] stopped blowing the clarinet?,The [person_1] will meet the demand of shot put.,The [person_1] will park the scooter home first.,[person_1] will be cheerful.,The [person_1] will have accordion to play.,[person_1] would put the clarinet down.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] would put the clarinet down.,[person_1] would put the clarinet down.
30_deNYn6Cc_000013_000023,descriptive,Where is [bicycle_1]?,the [bicycle_1] is on the floor.,A handful of mushrooms.,No.,[bicycle_1] is being controlled by [person_1].,[person_1] is wearing a hat on the head of [person_1].,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,[bicycle_1] is being controlled by [person_1].,[bicycle_1] is being controlled by [person_1].
30_deNYn6Cc_000013_000023,predictive,What will [person_1] do next after the preparation?,[person_1] will leave the store.,[person_1] will eat the them.,[person_1] will start to ride [bicycle_1] . ,[person_1] and [person_1] will continue dancing.,He may eat.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] will start to ride [bicycle_1] . ,[person_1] will start to ride [bicycle_1] . 
zgf3NskHmfc_000156_000166,descriptive,Where is [cup_1]?,[cup_1] is in the floor.,[dining table_1] is in the corner of the yard.,[cup_1] is sitting on the floor.,[cup_1] is on [dining table_1].,[cup_1] is on the desk.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,[cup_1] is on [dining table_1].,[cup_1] is on [dining table_1].
zgf3NskHmfc_000156_000166,explanatory,Why is [person_1] with [person_4]?,[person_1] is performing with [person_4].,[person_1] and [person_1] are skating together.,[person_1] is   smoking hookah.,Her father is not in company with her.,[person_1] expresses emotionally to [person_1].,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] is performing with [person_4].,[person_1] is performing with [person_4].
zgf3NskHmfc_000156_000166,predictive,What will [person_1] and [person_4] do next?,[person_1] will land on the water.,[person_1] and [person_1] will continue practicing the clarinet.,[person_1] and [person_4] will sing a birthday song.,[person_1] and [person_4] will continue performing.,They are going to take photos.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] and [person_4] will continue performing.,[person_1] and [person_4] will continue performing.
z35KXRUGT04_000000_000010,descriptive,What does [person_1] look like?,[person_1] has dark skin.,[person_1] is quite old.,[person_1] has a long hair.,[person_1] looks big.,[person_1] looks friendly.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] has a long hair.,[person_1] has a long hair.
z35KXRUGT04_000000_000010,explanatory,Why is [person_1] standing in front of the table?,To propose to [person_1].,Because it's easy to get over there.,They are here to practice saluting.,[person_1] is looking at the book on the table to play the flute.,Because the door is tight.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] is looking at the book on the table to play the flute.,[person_1] is looking at the book on the table to play the flute.
z35KXRUGT04_000000_000010,predictive_reason,Why?,[person_1] has no intention of stopping playing the flute.,[person_1] is very cool.,[person_1] stepped forward continuously.,[person_1] is going to talk with her friend.,[person_1] needs to recover.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] has no intention of stopping playing the flute.,[person_1] has no intention of stopping playing the flute.
z35KXRUGT04_000000_000010,counterfactual,What will happen if the TV turns on?,[person_1] may be the next one to do it.,[person_1] will record it again.,[person_1] will not turn on the faucet.,[person_1] may fall down.,[person_1] will not be able to concentrate on playing the flute.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] will not be able to concentrate on playing the flute.,[person_1] will not be able to concentrate on playing the flute.
z35KXRUGT04_000000_000010,counterfactual_reason,Why?,[person_1] jumped and stood up.,[person_1] is fragile.,He was scared about the broken vase.,[person_1] only has a glass.,The room became very noisy.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,The room became very noisy.,The room became very noisy.
AJq0KPe7mZw_000016_000026,descriptive,Where's the microphone?,Just one.,Two.,"The wall is dark , blue and green.",In the middle of the stage.,[person_1] is sitting on the ground.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,In the middle of the stage.,In the middle of the stage.
3zNY4hHrPxk_000014_000024,counterfactual_reason,Why?,[person_1] will feel comfortable when [person_1] dances alone.,The surface is concrete.,[person_1] will help [person_1] stand up.,Because [person_1] stands high from the ground.,The lute will drop down on the floor.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,The surface is concrete.,The surface is concrete.
DoG-s29yj0M_000043_000053,explanatory,Why are there no leaves on the tree?,To cut the cement stone.,It's winter.,For fear of splashing the juice everywhere.,White makes the room brighter.,[person_1] is in the competition.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,It's winter.,It's winter.
XkJeXjy3uzQ_000001_000011,counterfactual_reason,Why?,The dough is soft so if [person_2] squeezes it too hard the cake will be squashed.,It's too dark to see anything.,The [person_1] hits the ball to the wall.,They are curious about the plane.,[car_2] can't sharpen the knife while the whetstone bar is broken.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,The dough is soft so if [person_2] squeezes it too hard the cake will be squashed.,The dough is soft so if [person_2] squeezes it too hard the cake will be squashed.
GDSrSVYVBYo_000045_000055,descriptive,What color is [couch_1]?,[couch_1] is a little girl.,[couch_1] is the man who is wearing a red shirt.,[couch_1] is looking at the gong.,[couch_1] is the man who is wearing headphones.,The color of [couch_1] is green.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,The color of [couch_1] is green.,The color of [couch_1] is green.
GDSrSVYVBYo_000045_000055,predictive_reason,Why?,[person_1] isn't love the present and [person_1] throws the gift.,[person_1] turned around and go to [person_1]'s spot.,[person_1] is demonstrating while talking to the camera.,Because [person_1] is holding a cup.,"That bottle of champagne is for cheering , not drinking.",0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] isn't love the present and [person_1] throws the gift.,[person_1] isn't love the present and [person_1] throws the gift.
YDnncEScKgI_000129_000139,explanatory,Why is [person_1] holding [surfboard_1]?,[person_1] is excited about playing with [person_1].,[person_1] is throwing it at [person_1].,[person_1] is playing [surfboard_1].,[person_1] and [person_1] are practicing the clarinet.,[person_1] is do it for fun.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] is playing [surfboard_1].,[person_1] is playing [surfboard_1].
YDnncEScKgI_000129_000139,predictive,What is [person_1] going to do?,[person_1] will stop skiing.,[person_1] is going to keep playing [surfboard_1].,[person_1] will check the result.,[person_1] is going to drive snowmobile.,[person_1] is going to stack these cups.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] is going to keep playing [surfboard_1].,[person_1] is going to keep playing [surfboard_1].
YDnncEScKgI_000129_000139,counterfactual,What will happen if [person_1] falls [surfboard_1]?,Then others may hold [surfboard_1] immediately and timely.,[person_1] would help [person_1] stand up.,[person_1] will jump jack longer.,Perhaps [person_1] will keep fit.,[person_1] may not play [surfboard_1] anymore.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] may not play [surfboard_1] anymore.,[person_1] may not play [surfboard_1] anymore.
u75DmnVCYzI_000047_000057,explanatory,why are [person_1] and [person_2] drinking beer?,Because [person_1] is a baby.,Because the [person_1] is the owner of the camels.,[person_1] is rubbing [person_2]'s back.,Maybe [person_1] is playing lute for the [person_1].,[person_1] and [person_2] are doing a beer review.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] and [person_2] are doing a beer review.,[person_1] and [person_2] are doing a beer review.
u75DmnVCYzI_000047_000057,predictive,what will happen with [person_1] and [person_2] next?,[person_1] and [person_2] will taste the beer they poured.,[person_1] is going to continue playing with the baby.,[person_1] is going to continue spraying the object.,The person in yellow may send the photo to someone.,[person_1] is going to continue working on the perfection of the object.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] and [person_2] will taste the beer they poured.,[person_1] and [person_2] will taste the beer they poured.
l2zangRQ7Os_000032_000042,explanatory,Why is [person_4] sitting on the ground?,It's cold and snowy outside.,[person_1] is playing a solo with the electric bass guitar.,[person_4] is confused.,[person_1] wants to grind them.,[person_4] is watching [person_1] and [person_3] playing badminton.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_4] is watching [person_1] and [person_3] playing badminton.,[person_4] is watching [person_1] and [person_3] playing badminton.
l2zangRQ7Os_000032_000042,counterfactual,What will happen if [person_1] has cramps while he is playing?,It will arouse [person_1]'s interest.,Not much students will find out.,[person_1] could not play the double bass.,The plate will be broken down.,[person_1] may stop playing.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] may stop playing.,[person_1] may stop playing.
i7fYCgfoyP0_000020_000030,explanatory,Why does [person_1] wear a microphone?,Because the [person_1] wants to learn to play accordion.,[person_1] is loosing balance.,To make the sushi shaped.,To increase [person_1]'s voice.,Because the bellows produce sound.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,Because the [person_1] wants to learn to play accordion.,Because the [person_1] wants to learn to play accordion.
i7fYCgfoyP0_000020_000030,predictive_reason,Why?,To teach different kinds of exercises.,Because [person_1] is using the screwdriver.,[person_1] likes the candles.,[person_1] is telling us about the composition of bicycle wheels.,Because [person_1] feels tired.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,To teach different kinds of exercises.,To teach different kinds of exercises.
i7fYCgfoyP0_000020_000030,counterfactual,What will happen if the microphone suddenly breaks down?,[person_1] will raise [person_1]'s voice.,[person_1] may let [person_1] touch her belly button.,This video will not exist.,[person_1] will stop playing.,[person_1] will not drink the wine.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,This video will not exist.,This video will not exist.
i7fYCgfoyP0_000020_000030,counterfactual_reason,Why?,Because there is no gravity.,"If a player steps back during a match , the match will be paused.",[person_1] hurts.,Because the grass is flooded.,To help everyone listen clearly.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,"If a player steps back during a match , the match will be paused.","If a player steps back during a match , the match will be paused."
HQLw1ceplbw_000019_000029,counterfactual_reason,Why?,It is not easy to open a champagne bottle with a goblet.,[person_1] might feel happy.,Because maybe [person_1] has something urgent.,[person_1] is nearsighted.,The goats need to be full to grow faster.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,It is not easy to open a champagne bottle with a goblet.,It is not easy to open a champagne bottle with a goblet.
J-NBlgfpXF0_000005_000015,explanatory,How does [person_1] make the video?,Because [person_1] 's purpose is to relax.,[person_1] has to do so in order to create sound from drums.,[person_1] uses a stick to make the video.,Because [person_1] is a gong maker and wants to check the product [person_1] has made.,Because [person_1] is playing an accordion.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] uses a stick to make the video.,[person_1] uses a stick to make the video.
J-NBlgfpXF0_000005_000015,predictive,What is the man who wears a white shirt going to do?,Maybe the man in white is a doctor.,[person_1] is a singer.,The [person_1] is going to run into its cage.,The man who wears a white shirt is going to continue to talk with the two women.,[person_1] in the TV is going to broadcast the next news.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,The man who wears a white shirt is going to continue to talk with the two women.,The man who wears a white shirt is going to continue to talk with the two women.
J-NBlgfpXF0_000005_000015,predictive_reason,Why?,The person wearing the number 22 run around and looked toward the audience after scoring.,The man who wears a white shirt is looking at two women and talking.,[person_1] has a ring on his right hand.,Because the person is wearing gloves folds the flower - shape napkin.,"[person_1] is a news reporter , and [person_1] is going to broadcast the next news.",1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,The man who wears a white shirt is looking at two women and talking.,The man who wears a white shirt is looking at two women and talking.
9dbEqYOjQVs_000069_000079,counterfactual,What would happen if [person_1] didn't get his clothes wet?,[person_1] would be have to change clothes.,[person_1] wouldn't know how to use the broom.,Sweet potatoes won't ripen.,[person_1] would be unhappy.,[person_1] would look around the wire to plug it back in so he could get back to work.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] would be have to change clothes.,[person_1] would be have to change clothes.
ncVLwg-RhGQ_000000_000010,counterfactual,What will happen if [person_1] doesn't like this present?,[person_2] may feel so sad.,It is probable that [person_1] will be sad.,[person_1] could not lick her elbow.,[person_2] would cry loudly.,[person_1] will continue to play.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_2] may feel so sad.,[person_2] may feel so sad.
ROPiAMQ1_oM_000313_000323,explanatory,Why does [person_4] talk so much to the others?,Because [person_4] is trying to throw discus.,Because [person_4] is showing that there are nothing in the newspaper.,Because [person_4] is playing the gong in this room.,Maybe [person_4] wants to play kickball.,Maybe [person_4] is explaining the rules of dominoes game to the others.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,Maybe [person_4] is explaining the rules of dominoes game to the others.,Maybe [person_4] is explaining the rules of dominoes game to the others.
ROPiAMQ1_oM_000313_000323,counterfactual,What would happen if [person_4] did not explain the rules?,[person_4] may not drink.,The game might be delayed or even canceled.,The music show would be stopped.,The team will not know what to do,[person_4] may not say anything.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,The game might be delayed or even canceled.,The game might be delayed or even canceled.
ROPiAMQ1_oM_000313_000323,counterfactual_reason,Why?,Because interlacing the fingers is an action of thinking.,Because the others might not be able to understand how to play and thus got bored very quickly.,The cups are the important objects of the game.,There would be no space to dance . Or they would be stopped by the teachers.,[person_4] suffers less impact into his head.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,Because the others might not be able to understand how to play and thus got bored very quickly.,Because the others might not be able to understand how to play and thus got bored very quickly.
JceRJdMS4hk_000050_000060,predictive,What does [person_1] intend to do?,[person_1] intends to keep crawling.,[person_1] intends to drink beer.,[person_1] intends to draw eyeliner.,[person_1] intends to drink more.,[person_1] intends to go out.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] intends to drink beer.,[person_1] intends to drink beer.
0cLDulNqbis_000024_000034,counterfactual,What would he do if the machine broke?,[person_1] would raise his hands to try to guard himself against the pies in fear of being hit by them.,Other people would ask them to stay for watching.,[person_1] and [person_1] would eat all.,The older man would see what the [person_1] had done.,He will stop running.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,He will stop running.,He will stop running.
57Tfc2Ng9yo_000036_000046,predictive,What will [person_1] do after running?,[person_1] will stop gradually.,[person_1] and [person_1] are going to talking together.,[person_1] will rest and go home.,[person_1] will begin to read.,[person_1] will put some chair blocks inside the building block.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] will stop gradually.,[person_1] will stop gradually.
z28OWMNQRr0_000016_000026,descriptive,What is the camel doing?,The shirt is black.,The camel is yelling.,White.,A hat.,There are five cups on the table.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,The camel is yelling.,The camel is yelling.
z28OWMNQRr0_000016_000026,explanatory,Why does the camel yell?,[person_1] is whistling.,[person_2] wanted to throw it away.,Because they are playing the guessing game.,Because the camel dose not want to be controlled by man.,[person_1] can see things more clearly.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,Because the camel dose not want to be controlled by man.,Because the camel dose not want to be controlled by man.
z28OWMNQRr0_000016_000026,predictive,What will the [person_1] do to help them?,The [person_1] will help to hold the rope.,The [person_1] may stretch the measure tape.,The [person_1] is going to present.,The [person_1] may throw the snowball that the [person_1] is holding.,The [person_1] may talk about the weather on Thursday.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,The [person_1] will help to hold the rope.,The [person_1] will help to hold the rope.
z28OWMNQRr0_000016_000026,predictive_reason,Why?,The athlete finishes the jump and the official is walking toward the landing mark.,Because he can control the camel by holding the rope.,[person_1] is still dancing.,[person_1] is wearing nothing in the water.,[person_1] has put the barbell back.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,Because he can control the camel by holding the rope.,Because he can control the camel by holding the rope.
aHtmebKL6z4_000015_000025,explanatory,Why does the [person_1] only film his face?,Because [person_1] wants to go roller - skating.,Because [person_1] wants to play violin with his friend.,the [person_1] only films his face to focus on his eyebrows.,Because [person_1] wants to focus on his action of tying the necktie.,[person_1] holds a mirror to look at.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,the [person_1] only films his face to focus on his eyebrows.,the [person_1] only films his face to focus on his eyebrows.
GFnZ2NUx8sc_000006_000016,descriptive,What the weather like?,It is behind the [person_1].,[person_1] is on the stage.,They are at home.,It is sunny.,[person_1] is on the shelf.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,It is sunny.,It is sunny.
